Location ID,location_name,Care Home?,Location Type,Location Primary Inspection Category,Location Street Address,Location Address Line 2,Location City,Location Post Code,Location Local Authority,Location Region,Location ONSPD CCG Code,Location ONSPD CCG,Location Commissioning CCG Code,Location Commissioning CCG Name,Service / Population Group,Domain,Latest Rating,Publication Date,Report Type,Inherited Rating (Y/N),URL,Provider ID,provider_name,Brand ID,Brand Name,std_name
1-466088203,10 Spennithorne Road,Y,Social Care Org,Residential social care,10 Spennithorne Road,Urmston,Manchester,M41 5BU,Trafford,North West,E38000187,NHS Trafford CCG,NA,NA,Overall,Safe,Good,2018-02-10T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-466088203,1-438920790,Future Directions CIC,-,-,FUTURE DIRECTIONS CIC
1-1824380865,"17 Chamberlain Way, Respite Unit",Y,Social Care Org,Residential social care,17 Chamberlain Way,NA,Surbiton,KT6 6JH,Kingston upon Thames,London,E38000090,NHS Kingston CCG,NA,NA,Overall,Safe,Good,2018-04-21T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-1824380865,1-1632655813,Balance (Support) CIC,-,-,BALANCE (SUPPORT) CIC
1-5103942742,50 Arbour Street,Y,Social Care Org,Residential social care,50 Arbour Street,Talke Pits,Stoke-on-trent,ST7 1QW,Staffordshire,West Midlands,E38000126,NHS North Staffordshire CCG,NA,NA,Overall,Safe,Good,2019-05-08T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-5103942742,1-2061440179,Kidsgrove Care Solutions CIC,-,-,KIDSGROVE CARE SOLUTIONS CIC
1-7166259712,7 Beresford Buildings,N,Social Care Org,Community based adult social care services,Beresford  Crescent,NA,Middlesbrough,TS3 9NB,Middlesbrough,North East,E38000162,NHS South Tees CCG,NA,NA,Overall,Safe,Good,2019-01-31T00:00:00Z,Location,Y,http://www.cqc.org.uk/location/1-7166259712,1-222973241,Positive Support for You CIC,-,-,POSITIVE SUPPORT FOR YOU CIC
1-5805871215,Acorn Surgery,N,Independent Healthcare Org,Independent consulting doctors,Oak Tree Centre,1 Oak Drive,Huntingdon,PE29 7HN,Cambridgeshire,East of England,E38000026,NHS Cambridgeshire and Peterborough CCG,NA,NA,Overall,Safe,Inadequate,2019-09-02T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-5805871215,1-5657665166,West Cambs Federation CIC,-,-,WEST CAMBS FEDERATION CIC
1-2054497390,Acute Need CIC,N,Social Care Org,Community based adult social care services,161 College Street,NA,St Helens,WA10 1TY,St. Helens,North West,E38000172,NHS St Helens CCG,NA,NA,Overall,Safe,Outstanding,2019-01-10T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2054497390,1-277034446,Acute Need CIC,-,-,ACUTE NEED CIC
1-2078093883,Adult Placement,N,Social Care Org,Community based adult social care services,St Georges Resource Centre,Cromwell Road,Salford,M6 6SB,Salford,North West,E38000143,NHS Salford CCG,NA,NA,Overall,Safe,Good,2018-12-29T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2078093883,1-2024594488,Aspire: for Intelligent Care and Support C.I.C,-,-,ASPIRE: FOR INTELLIGENT CARE AND SUPPORT CIC
1-6179212410,All Seasons Community Support Two Limited,N,Social Care Org,Community based adult social care services,"3rd Floor, Mill Lane House",Mill Lane,Margate,CT9 1LB,Kent,South East,E38000184,NHS Thanet CCG,NA,NA,Overall,Safe,Good,2019-05-02T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-6179212410,1-5868163952,All Seasons Community Support CIC,-,-,ALL SEASONS COMMUNITY SUPPORT CIC
1-2867154703,Amherst Court,N,Independent Healthcare Org,Community health - NHS & Independent,Palmerston Road,NA,Chatham,ME4 6LU,Medway,South East,E38000104,NHS Medway CCG,NA,NA,Community health inpatient services,Safe,Requires improvement,2017-06-29T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-2867154703,1-184500761,Medway Community Healthcare C.I.C,-,-,MEDWAY COMMUNITY HEALTHCARE CIC
1-316644795,Angels Community Enterprises CIC,N,Social Care Org,Community based adult social care services,Micklethwaite House,70 Cross Green Lane,Leeds,LS9 0DG,Leeds,Yorkshire and The Humber,E38000225,NHS Leeds CCG,NA,NA,Overall,Safe,Good,2016-01-11T00:00:00Z,Location,N,http://www.cqc.org.uk/location/1-316644795,1-296951763,Angels Community Enterprises C.I.C.,-,-,ANGELS COMMUNITY ENTERPRISES CIC
