project_id,std_name,provider_name,location_name,type,level,service_group,domain,rating,publication_date,primary_cat,region,report_type
location1,LOCALA COMMUNITY PARTNERSHIPS CIC,Locala Community Partnerships C.I.C.,Park and Calder Community Practice,Primary Medical Services,location,"Families, children and young people",Overall,Good,2016-06-29T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
location2,LOCALA COMMUNITY PARTNERSHIPS CIC,Locala Community Partnerships C.I.C.,Park and Calder Community Practice,Primary Medical Services,location,Older people,Overall,Good,2016-06-29T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
location3,LOCALA COMMUNITY PARTNERSHIPS CIC,Locala Community Partnerships C.I.C.,Park and Calder Community Practice,Primary Medical Services,location,Overall,Safe,Good,2016-06-29T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
location4,LOCALA COMMUNITY PARTNERSHIPS CIC,Locala Community Partnerships C.I.C.,Park and Calder Community Practice,Primary Medical Services,location,Overall,Effective,Good,2016-06-29T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
location5,LOCALA COMMUNITY PARTNERSHIPS CIC,Locala Community Partnerships C.I.C.,Park and Calder Community Practice,Primary Medical Services,location,Overall,Caring,Good,2016-06-29T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
location6,LOCALA COMMUNITY PARTNERSHIPS CIC,Locala Community Partnerships C.I.C.,Park and Calder Community Practice,Primary Medical Services,location,Overall,Responsive,Good,2016-06-29T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
location7,LOCALA COMMUNITY PARTNERSHIPS CIC,Locala Community Partnerships C.I.C.,Park and Calder Community Practice,Primary Medical Services,location,Overall,Well-led,Good,2016-06-29T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
location8,LOCALA COMMUNITY PARTNERSHIPS CIC,Locala Community Partnerships C.I.C.,Park and Calder Community Practice,Primary Medical Services,location,Overall,Overall,Good,2016-06-29T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
location9,LOCALA COMMUNITY PARTNERSHIPS CIC,Locala Community Partnerships C.I.C.,Park and Calder Community Practice,Primary Medical Services,location,People experiencing poor mental health (including people with dementia),Overall,Good,2016-06-29T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
location10,LOCALA COMMUNITY PARTNERSHIPS CIC,Locala Community Partnerships C.I.C.,Park and Calder Community Practice,Primary Medical Services,location,People whose circumstances may make them vulnerable,Overall,Good,2016-06-29T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
location11,LOCALA COMMUNITY PARTNERSHIPS CIC,Locala Community Partnerships C.I.C.,Park and Calder Community Practice,Primary Medical Services,location,People with long term conditions,Overall,Good,2016-06-29T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
location12,LOCALA COMMUNITY PARTNERSHIPS CIC,Locala Community Partnerships C.I.C.,Park and Calder Community Practice,Primary Medical Services,location,Working age people (including those recently retired and students),Overall,Good,2016-06-29T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
location13,LOCALA COMMUNITY PARTNERSHIPS CIC,Locala Community Partnerships C.I.C.,Park and Calder Community Practice,Primary Medical Services,location,"Families, children and young people",Overall,Good,2016-06-29T00:00:00Z,GP Practices,Yorkshire and The Humber,Location
