project_id,founded,SIC,SIC2,CLS,health_social,healthcare,smallcompanies,currentasset,currentliabilities,currentratio,calledupshare,totalequity,employee-owned,group,dissolved,allocatedshares,aggregatevalue,shareholder,shareholder2,totalissueshares,reported,mutuals,spinout 
location403,2014,84110 - General public administration activities,"85600 - Educational support services
87900 - Other residential care activities not elsewhere classified
88990 - Other social work activities without accommodation not elsewhere classified",0,socialcare,0,,35640,37552,,,36055,0,0,0,,,0,,,2019,0,0
location404,2015,84110 - General public administration activities,"85600 - Educational support services
87900 - Other residential care activities not elsewhere classified
88990 - Other social work activities without accommodation not elsewhere classified",0,socialcare,0,,35640,37552,,,36055,0,0,0,,,0,,,2019,0,0
location405,2016,84110 - General public administration activities,"85600 - Educational support services
87900 - Other residential care activities not elsewhere classified
88990 - Other social work activities without accommodation not elsewhere classified",0,socialcare,0,,35640,37552,,,36055,0,0,0,,,0,,,2019,0,0
location406,2017,84110 - General public administration activities,"85600 - Educational support services
87900 - Other residential care activities not elsewhere classified
88990 - Other social work activities without accommodation not elsewhere classified",0,socialcare,0,,35640,37552,,,36055,0,0,0,,,0,,,2019,0,0
location407,2018,84110 - General public administration activities,"85600 - Educational support services
87900 - Other residential care activities not elsewhere classified
88990 - Other social work activities without accommodation not elsewhere classified",0,socialcare,0,,35640,37552,,,36055,0,0,0,,,0,,,2019,0,0
location408,2019,84110 - General public administration activities,"85600 - Educational support services
87900 - Other residential care activities not elsewhere classified
88990 - Other social work activities without accommodation not elsewhere classified",0,socialcare,0,,35640,37552,,,36055,0,0,0,,,0,,,2019,0,0
location379,2011,88990 - Other social work activities without accommodation not elsewhere classified,,0,socialcare,0,1,431774,63055,,,160130,0,0,0,,,0,,,2019,0,0
location380,2011,88990 - Other social work activities without accommodation not elsewhere classified,,0,socialcare,0,1,431774,63055,,,160130,0,0,0,,,0,,,2019,0,0
location381,2011,88990 - Other social work activities without accommodation not elsewhere classified,,0,socialcare,0,1,431774,63055,,,160130,0,0,0,,,0,,,2019,0,0
location382,2011,88990 - Other social work activities without accommodation not elsewhere classified,,0,socialcare,0,1,431774,63055,,,160130,0,0,0,,,0,,,2019,0,0
location383,2011,88990 - Other social work activities without accommodation not elsewhere classified,,0,socialcare,0,1,431774,63055,,,160130,0,0,0,,,0,,,2019,0,0
location384,2011,88990 - Other social work activities without accommodation not elsewhere classified,,0,socialcare,0,1,431774,63055,,,160130,0,0,0,,,0,,,2019,0,0
location1208,,,,999,,,0,,,,,,0,0,,,,,,,2019,,0
location1209,,,,999,,,0,,,,,,0,0,,,,,,,2019,,0
location1210,,,,999,,,0,,,,,,0,0,,,,,,,2019,,0
location1211,,,,999,,,0,,,,,,0,0,,,,,,,2019,,0
location1212,,,,999,,,0,,,,,,0,0,,,,,,,2019,,0
