project_id,std_name,founded,SIC,SIC2,CLS,health_social,healthcare,smallcompanies,group,allocatedshares,aggregatevalue,shareholder,shareholder2,totalissueshares,mutuals,currentasset,currentliabilities,calledupshare,totalequity,employee-owned,spinout,dissolved,reported
location403,ACHIEVING FOR CHILDREN CIC,2014,84110 - General public administration activities,"85600 - Educational support services
87900 - Other residential care activities not elsewhere classified
88990 - Other social work activities without accommodation not elsewhere classified",0,socialcare,0,NA,0,NA,NA,0,NA,NA,0,35640,37552,NA,36055,0,0,0,2019
location404,ACHIEVING FOR CHILDREN CIC,2015,84110 - General public administration activities,"85600 - Educational support services
87900 - Other residential care activities not elsewhere classified
88990 - Other social work activities without accommodation not elsewhere classified",0,socialcare,0,NA,0,NA,NA,0,NA,NA,0,35640,37552,NA,36055,0,0,0,2019
location405,ACHIEVING FOR CHILDREN CIC,2016,84110 - General public administration activities,"85600 - Educational support services
87900 - Other residential care activities not elsewhere classified
88990 - Other social work activities without accommodation not elsewhere classified",0,socialcare,0,NA,0,NA,NA,0,NA,NA,0,35640,37552,NA,36055,0,0,0,2019
location406,ACHIEVING FOR CHILDREN CIC,2017,84110 - General public administration activities,"85600 - Educational support services
87900 - Other residential care activities not elsewhere classified
88990 - Other social work activities without accommodation not elsewhere classified",0,socialcare,0,NA,0,NA,NA,0,NA,NA,0,35640,37552,NA,36055,0,0,0,2019
location407,ACHIEVING FOR CHILDREN CIC,2018,84110 - General public administration activities,"85600 - Educational support services
87900 - Other residential care activities not elsewhere classified
88990 - Other social work activities without accommodation not elsewhere classified",0,socialcare,0,NA,0,NA,NA,0,NA,NA,0,35640,37552,NA,36055,0,0,0,2019
location408,ACHIEVING FOR CHILDREN CIC,2019,84110 - General public administration activities,"85600 - Educational support services
87900 - Other residential care activities not elsewhere classified
88990 - Other social work activities without accommodation not elsewhere classified",0,socialcare,0,NA,0,NA,NA,0,NA,NA,0,35640,37552,NA,36055,0,0,0,2019
location379,ACUTE NEED CIC,2011,88990 - Other social work activities without accommodation not elsewhere classified,NA,0,socialcare,0,1,0,NA,NA,0,NA,NA,0,431774,63055,NA,160130,0,0,0,2019
location380,ACUTE NEED CIC,2011,88990 - Other social work activities without accommodation not elsewhere classified,NA,0,socialcare,0,1,0,NA,NA,0,NA,NA,0,431774,63055,NA,160130,0,0,0,2019
location381,ACUTE NEED CIC,2011,88990 - Other social work activities without accommodation not elsewhere classified,NA,0,socialcare,0,1,0,NA,NA,0,NA,NA,0,431774,63055,NA,160130,0,0,0,2019
location382,ACUTE NEED CIC,2011,88990 - Other social work activities without accommodation not elsewhere classified,NA,0,socialcare,0,1,0,NA,NA,0,NA,NA,0,431774,63055,NA,160130,0,0,0,2019
location383,ACUTE NEED CIC,2011,88990 - Other social work activities without accommodation not elsewhere classified,NA,0,socialcare,0,1,0,NA,NA,0,NA,NA,0,431774,63055,NA,160130,0,0,0,2019
location384,ACUTE NEED CIC,2011,88990 - Other social work activities without accommodation not elsewhere classified,NA,0,socialcare,0,1,0,NA,NA,0,NA,NA,0,431774,63055,NA,160130,0,0,0,2019
