"project_id","std_name","founded","SIC","SIC2","CLS","health_social","healthcare","smallcompanies","currentasset","currentliabilities","calledupshare","totalequity","employee-owned","group","dissolved","allocatedshares","aggregatevalue","shareholder","shareholder2","totalissueshares","reported","mutuals","spinout"
"location403","ACHIEVING FOR CHILDREN CIC","2014","84110 - General public administration activities","85600 - Educational support services
87900 - Other residential care activities not elsewhere classified
88990 - Other social work activities without accommodation not elsewhere classified",0,"socialcare",0,NA,35640,37552,NA,36055,0,0,0,NA,NA,0,NA,NA,2019,0,0
"location379","ACUTE NEED CIC","2011","88990 - Other social work activities without accommodation not elsewhere classified",NA,0,"socialcare",0,1,431774,63055,NA,160130,0,0,0,NA,NA,0,NA,NA,2019,0,0
"location1208","ALL SEASONS COMMUNITY SUPPORT CIC",NA,NA,NA,999,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,2019,NA,0
"location684","ANGELS COMMUNITY ENTERPRISES CIC","2005","81299 - Other cleaning services",NA,0,"socialcare",0,1,7990,2023,NA,6441,0,0,NA,NA,NA,0,NA,NA,2019,0,0
"location373","CARERS BREAK CIC","2013","86900 - Other human health activities",NA,0,"socialcare",0,1,193687,69915,NA,123772,0,0,0,NA,NA,NA,NA,NA,2019,0,0
"location868","CHANGES UK CIC","2009","87200 - Residential care activities for learning difficulties, mental health and substance abuse","88990 - Other social work activities without accommodation not elsewhere classified",0,"healthcare",1,1,216044,256126,NA,62115,0,0,0,NA,NA,NA,NA,NA,2019,0,1
"location145","CTRC CIC","2011","88990 - Other social work activities without accommodation not elsewhere classified",NA,0,"socialcare",0,1,228264,168342,NA,130078,0,0,0,NA,NA,0,NA,NA,2019,0,0
"location115","DHU HEALTH CARE CIC","2006","86210 - General medical practice activities",NA,0,"healthcare",1,NA,9692306,8270802,NA,2715231,0,1,0,NA,NA,0,NA,NA,2019,0,0
"location211","E2INSPIRE CIC","2012","88990 - Other social work activities without accommodation not elsewhere classified",NA,0,"socialcare",0,1,76468,52178,NA,31882,0,0,0,NA,NA,0,NA,NA,2019,0,0
"location755","EAZY INNOVATIONS CIC","2015","88100 - Social work activities without accommodation for the elderly and disabled",NA,0,"socialcare",0,1,20598,13980,NA,6618,0,0,0,NA,NA,0,NA,NA,2019,0,0
"location510","EMPANDA CARE & SUPPORT LTD CIC","2016","87200 - Residential care activities for learning difficulties, mental health and substance abuse",NA,0,"socialcare",0,1,246500,127961,NA,131301,0,0,0,NA,NA,0,NA,NA,2019,0,0
"location451","ESTEEM HOMECARE SERVICES CIC","2011","78200 - Temporary employment agency activities","88100 - Social work activities without accommodation for the elderly and disabled",0,"socialcare",0,1,2604,41993,NA,-23436,0,0,0,NA,NA,0,NA,NA,2019,0,0
"location175","FALCARE CIC","2007","86900 - Other human health activities",NA,0,"socialcare",0,1,338473,55173,NA,296226,0,0,0,NA,NA,NA,NA,NA,2019,0,0
"location397","FAVOURED HEALTH CARE CIC","2011","88100 - Social work activities without accommodation for the elderly and disabled",NA,0,"socialcare",0,1,26745,5513,NA,22135,0,0,0,NA,NA,0,NA,NA,2019,0,0
"location1012","FLEXIBLE COMMUNITY CARE CIC","2016","78109 - Other activities of employment placement agencies","87300 - Residential care activities for the elderly and disabled
87900 - Other residential care activities not elsewhere classified
88100 - Social work activities without accommodation for the elderly and disabled",0,"socialcare",0,0,436,22965,NA,-19589,0,0,0,NA,NA,NA,NA,NA,2019,0,0
"location121","FUTURE HEALTH AND SOCIAL CARE ASSOCIATION CIC","1996","55900 - Other accommodation","88100 - Social work activities without accommodation for the elderly and disabled",0,"socialcare",0,0,348418,711202,NA,1583637,0,0,0,NA,NA,NA,NA,NA,2019,0,0
"location252","GANNICOX CIC","2014","88100 - Social work activities without accommodation for the elderly and disabled",NA,0,"socialcare",0,0,166290,11968,NA,164025,0,0,0,NA,NA,NA,NA,NA,2019,0,0
"location474","HALOW CARE CIC","2009","88990 - Other social work activities without accommodation not elsewhere classified",NA,0,"socialcare",0,1,67025,58976,NA,8049,0,0,1,NA,NA,NA,NA,NA,2018,0,0
"location904","HESTIA CARE AT HOME CIC","2012","86900 - Other human health activities",NA,0,"socialcare",0,1,43430,8938,NA,36481,0,0,1,NA,NA,NA,NA,NA,2019,0,0
"location361","HOME FAIRY CIC","2014","96090 - Other service activities not elsewhere classified",NA,0,"socialcare",0,1,542,13,NA,529,0,0,0,NA,NA,NA,NA,NA,2019,0,0
"location331","HOMECARE NORTH EAST CIC","2012","84120 - Regulation of health care, education, cultural and other social services, not incl. social security",NA,0,"socialcare",0,1,2690,3303,NA,3613,0,0,0,NA,NA,NA,NA,NA,2019,0,0
"location367","JUST ASK DOMESTIC SERVICES CIC",".",".",".",999,"999",999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,0,0
"location708","KARREK COMMUNITY CIC","2014","88100 - Social work activities without accommodation for the elderly and disabled",NA,0,"socialcare",0,1,112847,24602,NA,32351,0,0,0,NA,NA,NA,NA,NA,2019,0,0
"location427","KIDSGROVE CARE SOLUTIONS CIC","2014","82990 - Other business support service activities not elsewhere classified",NA,0,"socialcare",0,1,186299,66887,NA,285421,0,0,0,NA,NA,NA,NA,NA,2019,0,0
"provider193","LIVEWELL SOUTHWEST CIC","2011","86101 - Hospital activities",NA,0,"healthcare",1,0,15765283,10747390,NA,6403141,0,1,0,NA,NA,NA,NA,NA,2019,0,1
"location97","MEADOWAY HOMES CIC",".",".",".",999,"999",999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,0,0
"location743","MEEBBB HEALTH CIC",".",".",".",999,"999",999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,0,0
"location874","NEDCARE CIC","2015","88100 - Social work activities without accommodation for the elderly and disabled",NA,0,"socialcare",0,1,177620,169077,NA,9305,0,0,1,NA,NA,NA,NA,NA,2019,0,0
"location433","NOTTINGHAM CITYCARE PARTNERSHIP CIC","2011","86900 - Other human health activities",NA,0,"healthcare",1,0,23013224,16431498,NA,7481504,0,0,0,NA,NA,NA,NA,NA,2019,1,0
"location1172","OUT OF HOURS WEST LANCASHIRE CIC","2000","86210 - General medical practice activities",NA,0,"healthcare",1,1,255876,68286,NA,204019,0,0,0,NA,NA,NA,NA,NA,2019,0,0
"location886","PAUL CLARKE (STAFFORDSHIRE) CIC","2016","87200 - Residential care activities for learning difficulties, mental health and substance abuse",NA,0,"socialcare",0,1,47451,74854,NA,26470,0,0,0,NA,NA,NA,NA,NA,2019,0,0
"location1322","POSITIVE SUPPORT FOR YOU CIC","2009","88100 - Social work activities without accommodation for the elderly and disabled",NA,0,"socialcare",0,1,222790,175549,NA,859,0,0,0,NA,NA,NA,NA,NA,2019,0,0
"location199","POSSABILITIES CIC","2014","87200 - Residential care activities for learning difficulties, mental health and substance abuse","88100 - Social work activities without accommodation for the elderly and disabled
88990 - Other social work activities without accommodation not elsewhere classified",0,"socialcare",0,0,3093872,734607,NA,2629491,0,0,0,NA,NA,NA,NA,NA,2019,1,1
"location1346","RANI CARE CIC","2012","88990 - Other social work activities without accommodation not elsewhere classified",NA,0,"socialcare",0,1,25305,13627,NA,12213,0,0,0,NA,NA,NA,NA,NA,2019,0,0
"location189","REACH LEARNING DISABILITY CARE CIC","2012","88100 - Social work activities without accommodation for the elderly and disabled",NA,0,"socialcare",1,1,155965,127161,NA,30537,0,0,0,30000,30000,NA,"REACH LEARNING DISABILITY (REGISTERED CHARITY 1076318)",30000,2016,0,0
"location540","SAHAN CARES CIC","2010","88990 - Other social work activities without accommodation not elsewhere classified",NA,0,"socialcare",0,1,65482,5000,NA,72442,0,0,0,NA,NA,NA,NA,NA,2019,0,0
"location253","SILVER TREE HOME SUPPORT CIC","2012","88990 - Other social work activities without accommodation not elsewhere classified",NA,0,"socialcare",0,1,16794,7606,NA,9188,0,0,0,NA,NA,NA,NA,NA,2019,0,0
"location588","SIRONA CARE & HEALTH CIC","2011","86900 - Other human health activities","87300 - Residential care activities for the elderly and disabled
88990 - Other social work activities without accommodation not elsewhere classified",0,"socialcare",0,0,10673,7939,NA,1536,0,1,0,NA,NA,NA,NA,NA,2019,1,1
"location1364","SISTERS CARE SERVICES CIC","2011","86900 - Other human health activities","87300 - Residential care activities for the elderly and disabled
88990 - Other social work activities without accommodation not elsewhere classified",0,"healthcare",1,0,10673,7939,NA,1536,0,0,0,NA,NA,NA,NA,NA,2019,0,0
"location582","SOUTH DURHAM HEALTH CIC","2011","86210 - General medical practice activities","86220 - Specialists medical practice activities",0,"healthcare",1,1,1753325,1696406,NA,86177,0,0,0,NA,NA,NA,NA,NA,2019,0,0
"location355","SPRINGS OF JOY CARE SOLUTION (SOJ) CIC","2013","88100 - Social work activities without accommodation for the elderly and disabled",NA,0,"socialcare",0,1,63264,15723,NA,20478,0,0,0,NA,NA,NA,NA,NA,NA,0,0
